I0,V0,I1,V1,I2,V2,I3,V3,I4,V4
1617,0.260,1099,0.18,460,0.074,1273,0.204,634,0.102
1520,1.430,1084,0.426,457.9,0.165,1261,0.454,627,0.351
1458,1.979,1072,0.600,455.4,0.252,1242,0.805,608,0.893
1412,2.277,1020,1.368,451.2,0.426,1226,1.069,599,1.087
1389,2.674,984,1.792,447.7,0.537,1194,1.534,583,1.404
1263,3.020,940,2.207,443.6,0.672,1174,1.773,569.2,1.643
1168,3.314,883,2.580,441.1,0.742,1145,2.058,549.8,1.899
950,3.686,813,2.927,435.6,0.900,1104,2.377,519.7,2.022
906,3.740,752,3.142,429.9,1.041,1088,2.470,491.1,2.417
827,3.809,662,3.358,424.9,1.164,1073,2.563,479.6,2.489
731,3.901,564.3,3.533,419.9,1.272,1026,2.804,453.3,2.635
640,3.978,479.3,3.653,414.2,1.390,954,3.059,424.6,2.766
579.4,4.025,427.8,3.714,409.2,1.486,902,3.197,399.0,2.867
527.7,4.062,378.1,3.773,401.7,1.615,890,3.222,381.5,2.929
455.5,4.111,351.1,3.802,394.6,1.725,850,3.310,373.4,2.956
428,4.129,339.1,3.816,387.1,1.825,824,3.360,364.4,2.980
393.6,4.149,326.0,3.830,379.4,1.922,780,3.440,362.7,2.991
356.7,4.171,315.8,3.833,371.5,2.018,745,3.497,343.5,3.049
303.9,4.201,306.7,3.842,360.3,2.131,705,3.557,330.3,3.086
265.3,4.223,299.5,3.849,346.5,2.250,675,3.598,322.5,3.108
182.9,4.236,287.7,3.861,340.8,2.296,652,3.628,306.8,3.149
145.4,4.243,283.0,3.866,335.2,2.339,638,3.647,295.1,3.177
120.7,4.284,277.2,3.870,319.7,2.447,616,3.673,280.2,3.125
107.7,4.290,265.2,3.883,313.0,2.488,576.3,3.720,271.4,3.235
87.8,4.300,248.5,3.897,309.0,2.517,554.6,3.745,261.5,3.257
74.8,4.306,222.4,3.918,304.2,2.640,531.8,3.770,256.0,3.268
66.6,4.324,207.9,3.931,316.6,2.676, 511.1,3.792,245.3,3.291
59.8,4.327,177.7,3.956,302.1,2.740,491.4,3.811,238.0,3.300
50.8,4.331,168.7,3.967,288.4,2.799,480.8,3.822,227.0,3.321
46.6,4.334,144.9,3.982,284.9,2.815,471.8,3.830,213.7,3.349
43.3,4.336,116.5,4.004,277.3,2.845,430.5,3.868,198.0,3.383
43.0,4.303,94.1,4.020,271.6,2.865,384.8,3.909,174.6,3.422
,,75.8,4.033,256.9,2.919,344.8,3.909,155.3,3.456
,,56.9,4.046,238.1,2.982,295.6,3.981,139.0,3.483
,,43.1,4.056,202.5,3.089,241.6,4.021,123.7,3.509
,,40.5,4.057,176.5,3.159,196.4,4.053,110,3.530
,,,,148.5,3.227,168.3,4.072,102.9,3.538
,,,,131.5,3.265,140.4,4.090,84.3,3.540
,,,,119.0,3.292,120.5,4.103,74.6,3.550
,,,,106.9,3.313,102.1,4.114,60.0,3.570
,,,,93.2,3.344,87.5,4.123,51.4,3.580
,,,,75.5,3.378,76.0,4.130,43.4,3.592
,,,,59.2,3.407,64.5,4.137,36.0,3.600
,,,,52.0,3.421,53.9,4.143,,
,,,,42.0,3.446,48.4,4.146,,
,,,,34.5,3.459,41.4,4.151,,